G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,trial_id,infection_count,infections_step
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,3,40730,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 803, 1267, 2000, 2953, 4055, 5065, 5416, 5304, 4380, 3160, 2134, 1293, 749, 454, 258, 149, 78, 62, 32, 24, 5, 1, 1, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,2,40873,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 788, 1240, 2006, 2933, 4066, 4995, 5389, 5263, 4395, 3222, 2166, 1422, 822, 500, 252, 158, 100, 43, 32, 15, 4, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,1,41005,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 498, 851, 1397, 2139, 3068, 4332, 5303, 5646, 5146, 4122, 2963, 1997, 1217, 733, 443, 258, 140, 78, 38, 21, 4, 0, 1, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,5,40498,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 773, 1201, 1926, 2882, 3993, 5066, 5439, 5204, 4331, 3150, 2176, 1397, 818, 455, 258, 147, 101, 45, 30, 19, 9, 3, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,4,40698,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 491, 833, 1285, 1991, 2788, 3990, 4933, 5544, 5322, 4337, 3210, 2200, 1350, 843, 444, 245, 139, 79, 42, 16, 4, 2, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,3,40565,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 830, 1286, 1994, 2968, 4010, 5037, 5537, 5202, 4268, 3083, 2099, 1305, 836, 460, 291, 136, 77, 30, 22, 7, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,7,40851,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 484, 787, 1283, 1920, 2879, 3993, 5025, 5617, 5273, 4369, 3099, 2112, 1340, 806, 518, 319, 163, 103, 64, 38, 32, 10, 5, 1, 1, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,0,40808,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 730, 1168, 1796, 2547, 3604, 4606, 5291, 5370, 4642, 3616, 2415, 1575, 998, 614, 340, 195, 107, 58, 37, 10, 4, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,8,40396,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 424, 726, 1160, 1756, 2666, 3736, 4744, 5362, 5360, 4573, 3408, 2342, 1517, 867, 503, 305, 157, 103, 46, 24, 5, 1, 1, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,4,40667,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 791, 1258, 1961, 2924, 4116, 5113, 5533, 5189, 4174, 3102, 2066, 1332, 841, 530, 294, 164, 91, 45, 21, 11, 1, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,0,40676,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 455, 707, 1185, 1788, 2753, 3865, 4874, 5444, 5399, 4499, 3393, 2265, 1480, 856, 509, 294, 155, 87, 33, 18, 4, 3, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,8,40776,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 765, 1191, 1886, 2683, 3704, 4849, 5347, 5294, 4582, 3439, 2358, 1533, 833, 558, 315, 176, 97, 56, 23, 10, 4, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,1,40569,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 775, 1157, 1833, 2704, 3662, 4654, 5230, 5256, 4468, 3490, 2348, 1580, 992, 564, 345, 204, 117, 65, 39, 18, 8, 1, 0, 1, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,9,40566,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 497, 766, 1267, 2033, 3013, 4065, 5111, 5511, 5178, 4182, 3110, 2044, 1325, 811, 487, 274, 149, 60, 38, 22, 10, 2, 1, 0]"
montgomery,75,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,6,40904,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 795, 1268, 2007, 3045, 4158, 5138, 5581, 5230, 4314, 3174, 2069, 1331, 734, 450, 274, 131, 79, 38, 17, 7, 3, 1, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,9,40618,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 460, 790, 1086, 1724, 2584, 3728, 4652, 5237, 5206, 4503, 3518, 2464, 1613, 1033, 591, 358, 224, 118, 70, 26, 17, 6, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,6,40688,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 466, 760, 1137, 1808, 2753, 3761, 4833, 5441, 5415, 4563, 3383, 2269, 1412, 878, 504, 305, 174, 108, 58, 32, 16, 1, 1, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,7,40589,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 789, 1226, 1912, 2900, 4033, 5002, 5453, 5285, 4298, 3198, 2101, 1398, 773, 516, 278, 145, 90, 53, 32, 13, 6, 1, 1, 0]"
montgomery,117,none,0.05,True,-1,True,1,mont.json,Degree_V2_noisy,5,40594,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 440, 761, 1195, 1887, 2770, 3836, 4942, 5506, 5374, 4488, 3235, 2198, 1422, 839, 480, 264, 160, 79, 59, 26, 13, 5, 5, 0]"
